Country,HDI,Mean_years_of_schooling,GNI
Switzerland,0.962,13.9,66933
Norway,0.961,13.0,64660
Iceland,0.959,13.8,55782
HongKong,0.952,12.2,62607
Australia,0.951,12.7,49238
Denmark,0.948,13.0,60365
Sweden,0.947,12.6,54489
Ireland,0.945,11.6,76169
Germany,0.942,14.1,54534
Netherlands,0.941,12.6,55979
Finland,0.940,12.9,49452
Singapore,0.939,11.9,90919
Belgium,0.937,12.4,52293
NewZealand,0.937,12.9,44057
Canada,0.936,13.8,46808
Liechtenstein,0.935,12.5,146830
Luxembourg,0.930,13.0,84649
UnitedKingdom,0.929,13.4,45225
Japan,0.925,13.4,42274
Korea(Republicof),0.925,12.5,44501
UnitedStates,0.921,13.7,64765
Israel,0.919,13.3,41524
Malta,0.918,12.2,38884
Slovenia,0.918,12.8,39746
Austria,0.916,12.3,53619
UnitedArabEmirates,0.911,12.7,62574
Spain,0.905,10.6,38354
France,0.903,11.6,45937
Cyprus,0.896,12.4,38188
Italy,0.895,10.7,42840
Estonia,0.890,13.5,38048
Czechia,0.889,12.9,38745
Greece,0.887,11.4,29002
Poland,0.876,13.2,33034
Bahrain,0.875,11.0,39497
Lithuania,0.875,13.5,37931
SaudiArabia,0.875,11.3,46112
Portugal,0.866,9.6,33155
Latvia,0.863,13.3,32803
Andorra,0.858,10.6,51167
Croatia,0.858,12.2,30132
Chile,0.855,10.9,24563
Qatar,0.855,10.0,87134
SanMarino,0.853,10.8,52654
Slovakia,0.848,12.9,30690
Hungary,0.846,12.2,32789
Argentina,0.842,11.1,20925
Türkiye,0.838,8.6,31033
Montenegro,0.832,12.2,20839
Kuwait,0.831,7.3,52920
BruneiDarussalam,0.829,9.2,64490
RussianFederation,0.822,12.8,27166
Romania,0.821,11.3,30027
Oman,0.816,11.7,27054
Bahamas,0.812,12.6,30486
Kazakhstan,0.811,12.3,23943
TrinidadandTobago,0.810,11.6,23392
CostaRica,0.809,8.8,19974
Uruguay,0.809,9.0,21269
Belarus,0.808,12.1,18849
Panama,0.805,10.5,26957
Malaysia,0.803,10.6,26658
Georgia,0.802,12.8,14664
Mauritius,0.802,10.4,22025
Serbia,0.802,11.4,19123
Thailand,0.800,8.7,17030
Albania,0.796,11.3,14131
Bulgaria,0.795,11.4,23079
Grenada,0.795,9.0,13484
Barbados,0.790,9.9,12306
AntiguaandBarbuda,0.788,9.3,16792
Seychelles,0.785,10.3,25831
SriLanka,0.782,10.8,12578
BosniaandHerzegovina,0.780,10.5,15242
SaintKittsandNevis,0.777,8.7,23358
Iran,0.774,10.6,13001
Ukraine,0.773,11.1,13256
NorthMacedonia,0.770,10.2,15918
China,0.768,7.6,17504
