1,Bermuda,145.1
2,Switzerland,131.7
3,Norway,106.1
4,Iceland,96.8
5,Denmark,91.7
6,Luxembourg,88.3
7,Japan,87.8
8,Israel,86.6
9,Bahamas,85.8
10,Singapore,85.6
11,Australia,84.1
12,Ireland,83.1
13,Barbados,81.5
14,South Korea,81.2
15,France,80.6
16,Hong Kong,79.9
17,Sweden,79.2
18,New Zealand,79.1
19,Seychelles,78.9
20,Netherlands,78.6
21,Belgium,78.5
22,Finland,77.5
23,Lebanon,75.9
24,Austria,75.5
25,Malta,73.6
26,Italy,73.1
27,United States,71.9
28,United Kingdom,71.0
29,Germany,70.6
30,Canada,70.1
31,Macao,69.6
32,Puerto Rico,69.5
33,Taiwan,65.2
34,Qatar,64.2
35,Cyprus,64.0
36,United Arab Emirates,61.7
37,Greece,61.0
38,Slovenia,59.4
39,Spain,59.1
40,Bahrain,57.7
41,Estonia,56.5
42,Croatia,56.4
43,Palestine,55.9
44,Cuba,55.5
45,Trinidad And Tobago,55.5
46,Ivory Coast,54.6
47,Ethiopia,54.3
48,Panama,54.1
49,Jamaica,53.2
50,Portugal,52.9
51,Latvia,52.9
52,Mauritius,52.6
53,Belize,52.4
54,Jordan,52.2
55,Suriname,51.9
56,Zimbabwe,51.5
57,Yemen,51.5
58,Uruguay,51.1
59,Costa Rica,50.6
60,Oman,50.2
61,Saudi Arabia,49.9
62,Kuwait,49.4
63,Brunei,49.4
64,Chile,49.3
65,Thailand,49.3
66,Czech Republic,49.2
67,Slovakia,49.1
68,Fiji,48.5
69,Cambodia,47.9
70,Lithuania,47.7
71,Guatemala,44.8
72,El Salvador,44.6
73,Nicaragua,42.8
74,Hungary,42.7
75,Cameroon,42.6
76,China,42.5
77,Honduras,42.2
78,Poland,42.0
79,South Africa,41.7
80,Dominican Republic,41.5
81,Montenegro,41.4
82,Iran,41.3
83,Namibia,41.0
84,Bulgaria,40.9
85,Philippines,40.7
86,Ghana,40.6
87,Botswana,40.4
88,Albania,40.2
89,Ecuador,40.1
90,Malaysia,39.5
91,Serbia,39.2
92,Bosnia And Herzegovina,38.6
93,Romania,38.5
94,Myanmar,38.1
95,Vietnam,38.0
96,Argentina,37.9
97,Indonesia,37.4
98,Somalia,37.4
99,Morocco,36.9
100,Kenya,36.3
101,Peru,36.3
102,Bolivia,36.1
103,Mozambique,35.9
104,Mexico,35.1
105,Tanzania,34.6
106,North Macedonia,34.1
107,Rwanda,34.1
108,Bangladesh,33.3
109,Mongolia,33.2
110,Russia,33.2
