"country","region","subregion","landAreaKm","density","densityMi","Rank","happiness2021","happiness2020","rank"
"Germany","Europe","Western Europe",349390,238.4002,617.4564,19,7.155,7.076,13
"United States","North America","Northern America",9147420,37.1686,96.2666,3,6.951,6.94,19
"Taiwan","Asia","Eastern Asia",36197,660.9188,1711.7796,57,6.584,6.455,24
"Poland","Europe","Eastern Europe",306130,134.0152,347.0993,37,6.166,6.186,43
"Japan","Asia","Eastern Asia",364500,338.2566,876.0845,12,5.94,5.871,55
"South Korea","Asia","Eastern Asia",97600,530.5744,1374.1876,29,5.845,5.872,61
"Russia","Europe","Eastern Europe",16376870,8.82,22.8439,9,5.477,5.546,74
"Vietnam","Asia","South-Eastern Asia",313429,315.411,816.9145,16,5.411,5.353,77
"China","Asia","Eastern Asia",9424702.9,151.2696,391.7884,2,5.339,5.124,82
"Bulgaria","Europe","Eastern Europe",108560,61.6039,159.554,110,5.266,5.102,86
"Iran","Asia","Southern Asia, The Middle East",1622500,54.9601,142.3467,17,4.721,4.672,116
